,time,pm_in,pm_out,tem_in,tem_out,rh_in,rh_out,co2,time_index
686,1/3/2017 9:05,0,0,0,0,0,0,0,9
687,1/3/2017 9:10,0,0,0,0,0,0,0,9
688,1/3/2017 9:15,0,0,0,0,0,0,0,9
689,1/3/2017 9:20,0,0,0,0,0,0,0,9
690,1/3/2017 9:25,0,0,0,0,0,0,0,9
691,1/3/2017 9:30,0,0,0,0,0,0,0,9
692,1/3/2017 9:35,0,0,0,0,0,0,0,9
693,1/3/2017 9:40,0,0,0,0,0,0,0,9
694,1/3/2017 9:45,0,0,0,0,0,0,0,9
695,1/3/2017 9:50,0,0,0,0,0,0,0,9
696,1/3/2017 9:55,0,0,0,0,0,0,0,9
697,1/3/2017 10:00,0,0,0,0,0,0,0,10
698,1/3/2017 10:05,0,0,0,0,0,0,0,10
699,1/3/2017 10:10,0,0,0,0,0,0,0,10
700,1/3/2017 10:15,0,0,0,0,0,0,0,10
701,1/3/2017 10:20,0,0,0,0,0,0,0,10
702,1/3/2017 10:25,0,0,0,0,0,0,0,10
703,1/3/2017 10:30,0,0,0,0,0,0,0,10
704,1/3/2017 10:35,0,0,0,0,0,0,0,10
705,1/3/2017 10:40,0,0,0,0,0,0,0,10
706,1/3/2017 10:45,0,0,0,0,0,0,0,10
707,1/3/2017 10:50,0,0,0,0,0,0,0,10
708,1/3/2017 10:55,0,0,0,0,0,0,0,10
709,1/3/2017 11:00,0,0,0,0,0,0,0,11
710,1/3/2017 11:05,0,0,0,0,0,0,0,11
711,1/3/2017 11:10,0,0,0,0,0,0,0,11
712,1/3/2017 11:15,0,0,0,0,0,0,0,11
713,1/3/2017 11:20,0,0,0,0,0,0,0,11
714,1/3/2017 11:25,0,0,0,0,0,0,0,11
715,1/3/2017 11:30,0,0,0,0,0,0,0,11
716,1/3/2017 11:35,0,0,0,0,0,0,0,11
717,1/3/2017 11:40,0,0,0,0,0,0,0,11
718,1/3/2017 11:45,0,0,0,0,0,0,0,11
719,1/3/2017 11:50,0,0,0,0,0,0,0,11
720,1/3/2017 11:55,0,0,0,0,0,0,0,11
721,1/3/2017 12:00,0,0,0,0,0,0,0,12
722,1/3/2017 12:05,0,0,0,0,0,0,0,12
723,1/3/2017 12:10,0,0,0,0,0,0,0,12
724,1/3/2017 12:15,0,0,0,0,0,0,0,12
725,1/3/2017 12:20,0,0,0,0,0,0,0,12
726,1/3/2017 12:25,0,0,0,0,0,0,0,12
727,1/3/2017 12:30,0,0,0,0,0,0,0,12
728,1/3/2017 12:35,0,0,0,0,0,0,0,12
729,1/3/2017 12:40,0,0,0,0,0,0,0,12
730,1/3/2017 12:45,0,0,0,0,0,0,0,12
731,1/3/2017 12:50,0,0,0,0,0,0,0,12
732,1/3/2017 12:55,0,0,0,0,0,0,0,12
733,1/3/2017 13:00,0,0,0,0,0,0,0,13
734,1/3/2017 13:05,0,0,0,0,0,0,0,13
735,1/3/2017 13:10,0,0,0,0,0,0,0,13
736,1/3/2017 13:15,0,0,0,0,0,0,0,13
737,1/3/2017 13:20,0,0,0,0,0,0,0,13
738,1/3/2017 13:25,0,0,0,0,0,0,0,13
739,1/3/2017 13:30,0,0,0,0,0,0,0,13
740,1/3/2017 13:35,0,0,0,0,0,0,0,13
741,1/3/2017 13:40,0,0,0,0,0,0,0,13
742,1/3/2017 13:45,0,0,0,0,0,0,0,13
743,1/3/2017 13:50,0,0,0,0,0,0,0,13
744,1/3/2017 13:55,0,0,0,0,0,0,0,13
745,1/3/2017 14:00,0,0,0,0,0,0,0,14
746,1/3/2017 14:05,0,0,0,0,0,0,0,14
747,1/3/2017 14:10,0,0,0,0,0,0,0,14
748,1/3/2017 14:15,0,0,0,0,0,0,0,14
749,1/3/2017 14:20,0,0,0,0,0,0,0,14
750,1/3/2017 14:25,0,0,0,0,0,0,0,14
751,1/3/2017 14:30,0,0,0,0,0,0,0,14
752,1/3/2017 14:35,0,0,0,0,0,0,0,14
753,1/3/2017 14:40,0,0,0,0,0,0,0,14
754,1/3/2017 14:45,0,0,0,0,0,0,0,14
755,1/3/2017 14:50,0,0,0,0,0,0,0,14
756,1/3/2017 14:55,0,0,0,0,0,0,0,14
757,1/3/2017 15:00,0,0,0,0,0,0,0,15
758,1/3/2017 15:05,0,0,0,0,0,0,0,15
759,1/3/2017 15:10,0,0,0,0,0,0,0,15
760,1/3/2017 15:15,0,0,0,0,0,0,0,15
761,1/3/2017 15:20,0,0,0,0,0,0,0,15
762,1/3/2017 15:25,0,0,0,0,0,0,0,15
763,1/3/2017 15:30,0,0,0,0,0,0,0,15
764,1/3/2017 15:35,0,0,0,0,0,0,0,15
765,1/3/2017 15:40,0,0,0,0,0,0,0,15
766,1/3/2017 15:45,0,0,0,0,0,0,0,15
767,1/3/2017 15:50,0,0,0,0,0,0,0,15
768,1/3/2017 15:55,0,0,0,0,0,0,0,15
769,1/3/2017 16:00,0,0,0,0,0,0,0,16
770,1/3/2017 16:05,0,0,0,0,0,0,0,16
771,1/3/2017 16:10,0,0,0,0,0,0,0,16
772,1/3/2017 16:15,0,0,0,0,0,0,0,16
773,1/3/2017 16:20,0,0,0,0,0,0,0,16
774,1/3/2017 16:25,0,0,0,0,0,0,0,16
775,1/3/2017 16:30,0,0,0,0,0,0,0,16
776,1/3/2017 16:35,0,0,0,0,0,0,0,16
777,1/3/2017 16:40,0,0,0,0,0,0,0,16
778,1/3/2017 16:45,0,0,0,0,0,0,0,16
779,1/3/2017 16:50,0,0,0,0,0,0,0,16
780,1/3/2017 16:55,0,0,0,0,0,0,0,16
781,1/3/2017 17:00,0,0,0,0,0,0,0,17
782,1/3/2017 17:05,0,0,0,0,0,0,0,17
783,1/3/2017 17:10,0,0,0,0,0,0,0,17
784,1/3/2017 17:15,0,0,0,0,0,0,0,17
785,1/3/2017 17:20,0,0,0,0,0,0,0,17
786,1/3/2017 17:25,0,0,0,0,0,0,0,17
787,1/3/2017 17:30,0,0,0,0,0,0,0,17
788,1/3/2017 17:35,0,0,0,0,0,0,0,17
789,1/3/2017 17:40,0,0,0,0,0,0,0,17
790,1/3/2017 17:45,0,0,0,0,0,0,0,17
791,1/3/2017 17:50,0,0,0,0,0,0,0,17
792,1/3/2017 17:55,0,0,0,0,0,0,0,17
793,1/3/2017 18:00,0,0,0,0,0,0,0,18
794,1/3/2017 18:05,0,0,0,0,0,0,0,18
795,1/3/2017 18:10,0,0,0,0,0,0,0,18
